Evaluacion,Costo,Puntaje_vision,restriccion_area,Penalizacion_dmin,Penalizacion_dmax,Distancia_vuelo,Tiempo_Vuelo,x0,y0,z0,yaw0,x1,y1,z1,yaw1,x2,y2,z2,yaw2,x3,y3,z3,yaw3,x4,y4,z4,yaw4,x5,y5,z5,yaw5,x6,y6,z6,yaw6,x7,y7,z7,yaw7,x8,y8,z8,yaw8,x9,y9,z9,yaw9,x10,y10,z10,yaw10,x11,y11,z11,yaw11
1,-19.671799,9.771365,0.0,0.0,0.0,15.529142706151246,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
2,-19.677336,9.770387,0.0,0.0,0.0,15.511801775386152,19.16,-0.7177669529663686,-0.7677669529663689,0.45,0.7997421841759182,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
3,-19.65074,9.7677965,0.0,0.0,0.0,15.548416119255801,19.16,-0.8177669529663687,-0.7677669529663689,0.45,0.7714541425976452,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
4,-19.679453,9.776048,0.0,0.0,0.0,15.511801775386154,19.240000000000002,-0.7677669529663687,-0.7177669529663688,0.45,0.7710541426189785,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
5,-19.629885,9.758779,0.0,0.0,0.0,15.548416119255803,19.12,-0.7677669529663687,-0.8177669529663689,0.45,0.7993421841972516,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
6,-19.656279,9.765506,0.0,0.0,0.0,15.522677618873992,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.4029523872436979,-1.4148145657226707,0.45,1.3284135354387845,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
7,-19.650503,9.765797,0.0,0.0,0.0,15.536091252324313,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.30295238724369794,-1.4148145657226707,0.45,1.2897802732920052,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
8,-19.660482,9.761689,0.0,0.0,0.0,15.505846772139739,19.12,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.3648145657226707,0.45,1.3037186372055587,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
9,-19.654709,9.772694,0.0,0.0,0.0,15.55581879481977,19.2,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4648145657226708,0.45,1.3140751714825643,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
10,-19.665058,9.770345,0.0,0.0,0.0,15.536091252324313,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.697047612756302,-1.4148145657226707,0.45,1.851812380297788,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
